Date,Year,Month,Day,Block,Block_oldname,block_newname,Row,Column,Height_Males_cm
1/27/2020,2020,1,27,1,PP,1-4,WP,,16
1/27/2020,2020,1,27,1,PP,1-4,WP,,8
1/27/2020,2020,1,27,1,PP,1-4,WP,,12
1/27/2020,2020,1,27,1,PP,1-4,WP,,15
1/27/2020,2020,1,27,1,PP,1-4,WP,,13
1/27/2020,2020,1,27,1,PP,1-4,WP,,8
1/27/2020,2020,1,27,1,PP,1-4,WP,,12
1/27/2020,2020,1,27,1,PP,1-4,WP,,23
1/27/2020,2020,1,27,1,PP,1-4,1,D,20
1/27/2020,2020,1,27,1,PP,1-4,1,D,16
1/27/2020,2020,1,27,1,PP,1-4,1,D,11
1/27/2020,2020,1,27,1,PP,1-4,4,C,68
1/27/2020,2020,1,27,1,PP,1-4,4,C,44
1/27/2020,2020,1,27,1,PP,1-4,4,C,65
1/27/2020,2020,1,27,1,PP,1-4,4,D,14
1/27/2020,2020,1,27,1,PP,1-4,4,D,19
1/27/2020,2020,1,27,3,PP,1-4,1,B,19
1/27/2020,2020,1,27,3,PP,1-4,2,B,29
1/27/2020,2020,1,27,4,PP,1-4,3,A,16
1/27/2020,2020,1,27,4,PP,1-4,3,A,17
1/27/2020,2020,1,27,4,PP,1-4,3,A,8
1/27/2020,2020,1,27,4,PP,1-4,3,A,19
1/27/2020,2020,1,27,4,PP,1-4,3,C,14
1/27/2020,2020,1,27,4,PP,1-4,3,C,18
1/27/2020,2020,1,27,4,PP,1-4,3,C,14
1/27/2020,2020,1,27,4,PP,1-4,3,D,17
1/27/2020,2020,1,27,5,VT,5-9,1,D,9
1/27/2020,2020,1,27,5,VT,5-9,5,C,10
1/31/2020,2020,1,31,1,PP,1-4,1,D,10
1/31/2020,2020,1,1,1,PP,1-4,1,D,15
1/31/2020,2020,1,1,1,PP,1-4,1,D,9
1/31/2020,2020,1,1,1,PP,1-4,1,D,21
1/31/2020,2020,1,1,1,PP,1-4,1,D,13
1/31/2020,2020,1,1,1,PP,1-4,1,D,6
1/31/2020,2020,1,1,1,PP,1-4,WP,,17
1/31/2020,2020,1,1,1,PP,1-4,WP,,15
1/31/2020,2020,1,1,1,PP,1-4,WP,,23
1/31/2020,2020,1,1,2,PP,1-4,,,68
1/31/2020,2020,1,1,2,PP,1-4,,,32
1/31/2020,2020,1,1,2,PP,1-4,,,11
1/31/2020,2020,1,1,2,PP,1-4,,,19
1/31/2020,2020,1,1,3,PP,1-4,,,19
1/31/2020,2020,1,1,3,PP,1-4,WP,,12
1/31/2020,2020,1,1,3,PP,1-4,WP,,16
1/31/2020,2020,1,1,3,PP,1-4,WP,,8
1/31/2020,2020,1,1,3,PP,1-4,2,A,18
1/31/2020,2020,1,1,3,PP,1-4,2,A,13
1/31/2020,2020,1,1,3,PP,1-4,2,C,28
1/31/2020,2020,1,1,3,PP,1-4,3,A,18
1/31/2020,2020,1,1,4,PP,1-4,3,A,16
1/31/2020,2020,1,1,4,PP,1-4,3,A,20
1/31/2020,2020,1,1,4,PP,1-4,3,A,9
1/31/2020,2020,1,1,4,PP,1-4,3,A,20
1/31/2020,2020,1,1,4,PP,1-4,3,C,17
1/31/2020,2020,1,1,4,PP,1-4,3,C,14
1/31/2020,2020,1,1,4,PP,1-4,3,C,19
1/31/2020,2020,1,1,4,PP,1-4,3,D,18
1/31/2020,2020,1,1,5,VT,5-9,5,A,18
2/10/2020,2020,2,10,1,PP,1-4,1,D,15
2/10/2020,2020,2,10,1,PP,1-4,1,D,13
2/10/2020,2020,2,10,1,PP,1-4,1,D,17
2/10/2020,2020,2,10,1,PP,1-4,1,D,12
2/10/2020,2020,2,10,1,PP,1-4,1,D,24
2/10/2020,2020,2,10,1,PP,1-4,WP,,12
2/10/2020,2020,2,10,1,PP,1-4,WP,,17
2/10/2020,2020,2,10,1,PP,1-4,WP,,8
2/10/2020,2020,2,10,1,PP,1-4,WP,,10
2/10/2020,2020,2,10,1,PP,1-4,WP,,24
2/10/2020,2020,2,10,2,PP,1-4,4,D,9
2/10/2020,2020,2,10,2,PP,1-4,4,D,17
2/10/2020,2020,2,10,3,PP,1-4,2,A,16
2/10/2020,2020,2,10,4,PP,1-4,3,A,19
2/10/2020,2020,2,10,4,PP,1-4,3,A,20
2/10/2020,2020,2,10,4,PP,1-4,3,A,13
2/10/2020,2020,2,10,4,PP,1-4,3,A,17
2/10/2020,2020,2,10,4,PP,1-4,3,A,22
2/10/2020,2020,2,10,4,PP,1-4,3,A,8
2/10/2020,2020,2,10,5,VT,5-9,5,A,35
2/21/2020,2020,2,21,1,PP,1-4,1,D,18
2/21/2020,2020,2,21,1,PP,1-4,1,D,14
2/21/2020,2020,2,21,1,PP,1-4,1,D,13
2/21/2020,2020,2,21,4,PP,1-4,WP,,17
2/21/2020,2020,2,21,4,PP,1-4,WP,,18
2/21/2020,2020,2,21,2,PP,1-4,4,D,19
2/21/2020,2020,2,21,4,PP,1-4,WP,,8
2/21/2020,2020,2,21,4,PP,1-4,3,C,17
2/21/2020,2020,2,21,4,PP,1-4,3,C,16
2/21/2020,2020,2,21,4,PP,1-4,3,C,20
2/21/2020,2020,2,21,4,PP,1-4,3,C,21
2/21/2020,2020,2,21,4,PP,1-4,3,C,14
2/21/2020,2020,2,21,4,PP,1-4,3,C,22
2/21/2020,2020,2,21,5,VT,5-9,5,A,41
2/28/2020,2020,2,28,1,PP,1-4,1,D,19
2/28/2020,2020,2,28,1,PP,1-4,1,D,13
2/28/2020,2020,2,28,1,PP,1-4,1,D,14
2/28/2020,2020,2,28,1,PP,1-4,WP,,18
2/28/2020,2020,2,28,1,PP,1-4,WP,,9
2/28/2020,2020,2,28,2,PP,1-4,3,D,13
2/28/2020,2020,2,28,4,PP,1-4,3,A,25
2/28/2020,2020,2,28,5,VT,5-9,5,A,41
3/5/2020,2020,3,5,1,PP,1-4,1,D,14
3/5/2020,2020,3,5,1,PP,1-4,1,D,20
3/5/2020,2020,3,5,2,PP,1-4,3,D,14
3/5/2020,2020,3,5,3,PP,1-4,2,B,17
3/5/2020,2020,3,5,3,PP,1-4,2,B,16
3/5/2020,2020,3,5,3,PP,1-4,2,B,20
3/5/2020,2020,3,5,3,PP,1-4,2,B,12
3/5/2020,2020,3,5,3,PP,1-4,2,B,17
3/5/2020,2020,3,5,3,PP,1-4,WP,,11
3/5/2020,2020,3,5,4,PP,1-4,3,C,19
3/5/2020,2020,3,5,4,PP,1-4,3,D,38
3/5/2020,2020,3,5,4,PP,1-4,4,B,21
3/5/2020,2020,3,5,4,PP,1-4,4,B,12
3/5/2020,2020,3,5,4,PP,1-4,4,C,12
3/5/2020,2020,3,5,4,PP,1-4,4,D,16
3/5/2020,2020,3,5,4,PP,1-4,4,D,19
3/5/2020,2020,3,5,4,PP,1-4,4,D,13
3/5/2020,2020,3,5,6,VT,5-9,2,C,17
3/5/2020,2020,3,5,9,VT,5-9,4,D,12
3/11/2020,2020,3,11,1,PP,1-4,1,D,14
3/11/2020,2020,3,11,1,PP,1-4,1,D,12
3/11/2020,2020,3,11,3,PP,1-4,1,B,18
3/11/2020,2020,3,11,3,PP,1-4,1,B,19
3/11/2020,2020,3,11,3,PP,1-4,WP,,17
3/11/2020,2020,3,11,3,PP,1-4,1,C,11
3/11/2020,2020,3,11,3,PP,1-4,2,B,17
3/11/2020,2020,3,11,3,PP,1-4,2,B,18
3/11/2020,2020,3,11,3,PP,1-4,2,C,31
3/11/2020,2020,3,11,3,PP,1-4,2,C,16
3/11/2020,2020,3,11,3,PP,1-4,2,D,22
3/11/2020,2020,3,11,3,PP,1-4,WP,,17
3/11/2020,2020,3,11,3,PP,1-4,WP,,18
3/11/2020,2020,3,11,3,PP,1-4,WP,,14
3/11/2020,2020,3,11,4,PP,1-4,3,B,15
3/11/2020,2020,3,11,4,PP,1-4,3,B,16
3/11/2020,2020,3,11,4,PP,1-4,3,D,19
3/11/2020,2020,3,11,4,PP,1-4,4,B,23
3/11/2020,2020,3,11,4,PP,1-4,4,C,21
3/11/2020,2020,3,11,4,PP,1-4,4,D,17
3/11/2020,2020,3,11,4,PP,1-4,4,D,18
3/11/2020,2020,3,11,4,PP,1-4,4,D,22
3/11/2020,2020,3,11,4,PP,1-4,4,D,28
3/11/2020,2020,3,11,5,VT,5-9,WP,,13
3/11/2020,2020,3,11,6,VT,5-9,2,C,18
3/11/2020,2020,3,11,6,VT,5-9,2,C,22
3/11/2020,2020,3,11,6,VT,5-9,2,C,23
3/11/2020,2020,3,11,6,VT,5-9,2,C,8
3/11/2020,2020,3,11,9,VT,5-9,3,D,18
3/20/2020,2020,3,20,1,PP,1-4,1,D,21
3/20/2020,2020,3,20,3,PP,1-4,1,B,23
3/20/2020,2020,3,20,3,PP,1-4,1,B,9
3/20/2020,2020,3,20,3,PP,1-4,WP,,23
3/20/2020,2020,3,20,3,PP,1-4,WP,,12
3/20/2020,2020,3,20,3,PP,1-4,WP,,21
3/20/2020,2020,3,20,3,PP,1-4,WP,,17
3/20/2020,2020,3,20,3,PP,1-4,WP,,11
3/20/2020,2020,3,20,3,PP,1-4,1,C,15
3/20/2020,2020,3,20,3,PP,1-4,1,C,13
3/20/2020,2020,3,20,3,PP,1-4,1,C,12
3/20/2020,2020,3,20,3,PP,1-4,1,D,18
3/20/2020,2020,3,20,3,PP,1-4,1,D,17
3/20/2020,2020,3,20,3,PP,1-4,2,B,31
3/20/2020,2020,3,20,3,PP,1-4,2,B,22
3/20/2020,2020,3,20,3,PP,1-4,2,B,35
3/20/2020,2020,3,20,3,PP,1-4,2,B,14
3/20/2020,2020,3,20,3,PP,1-4,2,B,37
3/20/2020,2020,3,20,3,PP,1-4,2,C,9
3/20/2020,2020,3,20,3,PP,1-4,2,C,27
3/20/2020,2020,3,20,4,PP,1-4,3,A,12
3/20/2020,2020,3,20,4,PP,1-4,WP,,23
3/20/2020,2020,3,20,4,PP,1-4,WP,,26
3/20/2020,2020,3,20,4,PP,1-4,WP,,15
3/20/2020,2020,3,20,4,PP,1-4,3,B,15
3/20/2020,2020,3,20,4,PP,1-4,3,B,23
3/20/2020,2020,3,20,4,PP,1-4,3,D,22
3/20/2020,2020,3,20,4,PP,1-4,3,D,34
3/20/2020,2020,3,20,4,PP,1-4,3,D,15
3/20/2020,2020,3,20,4,PP,1-4,4,B,23
3/20/2020,2020,3,20,4,PP,1-4,4,B,32
3/20/2020,2020,3,20,4,PP,1-4,4,C,21
3/20/2020,2020,3,20,4,PP,1-4,4,C,16
3/20/2020,2020,3,20,4,PP,1-4,4,C,24
3/20/2020,2020,3,20,4,PP,1-4,4,C,41
3/20/2020,2020,3,20,4,PP,1-4,4,D,20
3/20/2020,2020,3,20,4,PP,1-4,4,D,21
3/20/2020,2020,3,20,4,PP,1-4,4,D,18
3/20/2020,2020,3,20,4,PP,1-4,4,D,25
3/20/2020,2020,3,20,4,PP,1-4,4,D,22
3/20/2020,2020,3,20,4,PP,1-4,4,D,41
3/20/2020,2020,3,20,4,PP,1-4,4,D,27
3/20/2020,2020,3,20,4,PP,1-4,4,D,23
3/20/2020,2020,3,20,5,VT,5-9,WP,,12
3/20/2020,2020,3,20,6,VT,5-9,2,C,9
3/20/2020,2020,3,20,6,VT,5-9,2,C,22
3/20/2020,2020,3,20,6,VT,5-9,2,C,29
3/20/2020,2020,3,20,9,VT,5-9,3,D,14
3/26/2020,2020,3,26,1,PP,1-4,1,D,20
3/26/2020,2020,3,26,1,PP,1-4,1,D,25
3/26/2020,2020,3,26,2,PP,1-4,4,C,12
3/26/2020,2020,3,26,3,PP,1-4,1,A,19
3/26/2020,2020,3,26,3,PP,1-4,1,B,12
3/26/2020,2020,3,26,3,PP,1-4,1,B,24
3/26/2020,2020,3,26,3,PP,1-4,WP,,6
3/26/2020,2020,3,26,3,PP,1-4,WP,,12
3/26/2020,2020,3,26,3,PP,1-4,WP,,19
3/26/2020,2020,3,26,3,PP,1-4,1,C,16
3/26/2020,2020,3,26,3,PP,1-4,1,C,17
3/26/2020,2020,3,26,3,PP,1-4,1,C,15
3/26/2020,2020,3,26,3,PP,1-4,1,C,21
3/26/2020,2020,3,26,3,PP,1-4,1,D,17
3/26/2020,2020,3,26,3,PP,1-4,1,D,22
3/26/2020,2020,3,26,3,PP,1-4,1,D,16
3/26/2020,2020,3,26,3,PP,1-4,2,B,32
3/26/2020,2020,3,26,3,PP,1-4,2,B,26
3/26/2020,2020,3,26,3,PP,1-4,2,B,37
3/26/2020,2020,3,26,3,PP,1-4,2,B,31
3/26/2020,2020,3,26,3,PP,1-4,2,B,17
3/26/2020,2020,3,26,3,PP,1-4,2,D,20
3/26/2020,2020,3,26,3,PP,1-4,2,D,21
3/26/2020,2020,3,26,3,PP,1-4,2,D,10
3/26/2020,2020,3,26,4,PP,1-4,3,A,11
3/26/2020,2020,3,26,4,PP,1-4,3,A,14
3/26/2020,2020,3,26,4,PP,1-4,WP,,28
3/26/2020,2020,3,26,4,PP,1-4,WP,,9
3/26/2020,2020,3,26,4,PP,1-4,3,B,26
3/26/2020,2020,3,26,4,PP,1-4,3,B,20
3/26/2020,2020,3,26,4,PP,1-4,3,B,28
3/26/2020,2020,3,26,4,PP,1-4,3,B,21
3/26/2020,2020,3,26,4,PP,1-4,3,D,47
3/26/2020,2020,3,26,4,PP,1-4,3,D,17
3/26/2020,2020,3,26,4,PP,1-4,3,D,25
3/26/2020,2020,3,26,4,PP,1-4,4,B,39
3/26/2020,2020,3,26,4,PP,1-4,4,B,27
3/26/2020,2020,3,26,4,PP,1-4,4,C,25
3/26/2020,2020,3,26,4,PP,1-4,4,C,20
3/26/2020,2020,3,26,4,PP,1-4,4,C,13
3/26/2020,2020,3,26,4,PP,1-4,4,C,48
3/26/2020,2020,3,26,4,PP,1-4,4,D,28
3/26/2020,2020,3,26,4,PP,1-4,4,D,25
3/26/2020,2020,3,26,4,PP,1-4,4,D,23
3/26/2020,2020,3,26,4,PP,1-4,4,D,27
3/26/2020,2020,3,26,4,PP,1-4,4,D,47
3/26/2020,2020,3,26,4,PP,1-4,4,D,35
3/26/2020,2020,3,26,6,VT,5-9,2,B,30
3/26/2020,2020,3,26,6,VT,5-9,2,B,22
3/26/2020,2020,3,26,6,VT,5-9,2,B,8
3/26/2020,2020,3,26,6,VT,5-9,2,B,18
3/26/2020,2020,3,26,9,VT,5-9,3,D,25
9/11/2020,2020,9,11,3,PP,1-4,2,B,92
9/11/2020,2020,9,11,4,PP,1-4,3,C,112
9/11/2020,2020,9,11,4,PP,1-4,4,C,119
9/25/2020,2020,9,25,3,PP,1-4,2,B,110
9/25/2020,2020,9,25,4,PP,1-4,3,C,130
9/25/2020,2020,9,25,4,PP,1-4,4,B,89
9/25/2020,2020,9,25,4,PP,1-4,4,C,140
9/25/2020,2020,9,25,4,PP,1-4,4,D,169
10/9/2020,2020,10,9,3,PP,1-4,2,B,112
10/9/2020,2020,10,9,4,PP,1-4,3,C,140
10/9/2020,2020,10,9,4,PP,1-4,4,B,99
10/22/2020,2020,10,22,3,PP,1-4,2,B,103
10/22/2020,2020,10,22,4,PP,1-4,3,C,146
10/22/2020,2020,10,22,4,PP,1-4,4,B,105
