Experiment,Variety,Column,Row,Block,Class,Latitude
PilotPlot1,Yuma-2,A,1,1,SouthChina,25
PilotPlot1,Puma-3,B,1,1,SouthChina,25
PilotPlot1,Bama,C,1,1,SouthChina,25
PilotPlot1,BerryBlossom,D,1,1,Uncertain,30
PilotPlot1,CherryBlossomxTI,A,2,1,Uncertain,30
PilotPlot1,Eletta,B,2,1,SouthernEuropean,45
PilotPlot1,Tygra,C,2,1,Poland,50
PilotPlot1,CarmagnolaSelezionata,D,2,1,SouthernEuropean,40
PilotPlot1,Yuma-2,A,3,2,SouthChina,25
PilotPlot1,Eletta,B,3,2,SouthernEuropean,45
PilotPlot1,CarmagnolaSelezionata,C,3,2,SouthernEuropean,40
PilotPlot1,CherryBlossomxTI,D,3,2,Uncertain,30
PilotPlot1,Tygra,A,4,2,Poland,50
PilotPlot1,Bama,B,4,2,SouthChina,25
PilotPlot1,Puma-3,C,4,2,SouthChina,25
PilotPlot1,BerryBlossom,D,4,2,Uncertain,30
PilotPlot1,Eletta,A,1,3,SouthernEuropean,45
PilotPlot1,Puma-3,B,1,3,SouthChina,25
PilotPlot1,Yuma-2,C,1,3,SouthChina,25
PilotPlot1,CarmagnolaSelezionata,D,1,3,SouthernEuropean,40
PilotPlot1,BerryBlossom,A,2,3,Uncertain,30
PilotPlot1,Bama,B,2,3,SouthChina,25
PilotPlot1,CherryBlossomxTI,C,2,3,Uncertain,30
PilotPlot1,Tygra,D,2,3,Poland,50
PilotPlot1,CherryBlossomxTI,A,3,4,Uncertain,30
PilotPlot1,Tygra,B,3,4,Poland,50
PilotPlot1,Yuma-2,C,3,4,SouthChina,25
PilotPlot1,Bama,D,3,4,SouthChina,25
PilotPlot1,CarmagnolaSelezionata,A,4,4,SouthernEuropean,40
PilotPlot1,Eletta,B,4,4,SouthernEuropean,45
PilotPlot1,BerryBlossom,C,4,4,Uncertain,30
PilotPlot1,Puma-3,D,4,4,SouthChina,25
VarietyTrial,Helena,A,1,5,SouthernEuropean,45
VarietyTrial,Canda,B,1,5,Canadian,50
VarietyTrial,CFX-1,C,1,5,Canadian,50
VarietyTrial,Si-1,D,1,5,SouthChina,25
VarietyTrial,CarmagnolaSelezionata,A,2,5,SouthernEuropean,40
VarietyTrial,Joey,B,2,5,Canadian,50
VarietyTrial,CherryBlossomxTI,C,2,5,Uncertain,30
VarietyTrial,BerryBlossom,D,2,5,Uncertain,30
VarietyTrial,HanFNQ,A,3,5,NorthernChinese,45
VarietyTrial,HanFN-H,B,3,5,NorthernChinese,45
VarietyTrial,Carmagnola,C,3,5,SouthernEuropean,40
VarietyTrial,HanNW,D,3,5,MiddleChinese,35
VarietyTrial,Yuma-2,A,4,5,SouthChina,25
VarietyTrial,CRS-1,B,4,5,Canadian,50
VarietyTrial,HanNE,C,4,5,MiddleChinese,35
VarietyTrial,Tygra,D,4,5,Poland,50
VarietyTrial,Yuma,A,5,5,SouthChina,25
VarietyTrial,CFX-2,B,5,5,Canadian,50
VarietyTrial,Bama,C,5,5,SouthChina,25
VarietyTrial,HanNE,D,5,5,MiddleChinese,35
VarietyTrial,CFX-2,A,1,6,Canadian,50
VarietyTrial,CherryBlossomxTI,B,1,6,Uncertain,30
VarietyTrial,Tygra,C,1,6,Poland,50
VarietyTrial,HanNW,D,1,6,MiddleChinese,35
VarietyTrial,HanNE,A,2,6,MiddleChinese,35
VarietyTrial,Joey,B,2,6,Canadian,50
VarietyTrial,Si-1,C,2,6,SouthChina,25
VarietyTrial,BerryBlossom,D,2,6,Uncertain,30
VarietyTrial,HanFNQ,A,3,6,NorthernChinese,45
VarietyTrial,Canda,B,3,6,Canadian,50
VarietyTrial,Bama,C,3,6,SouthChina,25
VarietyTrial,Helena,D,3,6,SouthernEuropean,45
VarietyTrial,Yuma-2,A,4,6,SouthChina,25
VarietyTrial,Carmagnola,B,4,6,SouthernEuropean,40
VarietyTrial,HanFN-H,C,4,6,NorthernChinese,45
VarietyTrial,Yuma,D,4,6,SouthChina,25
VarietyTrial,CRS-1,A,5,6,Canadian,50
VarietyTrial,CFX-1,B,5,6,Canadian,50
VarietyTrial,CarmagnolaSelezionata,C,5,6,SouthernEuropean,40
VarietyTrial,Yuma,A,1,7,SouthChina,25
VarietyTrial,Helena,B,1,7,SouthernEuropean,45
VarietyTrial,HanNE,C,1,7,MiddleChinese,35
VarietyTrial,Carmagnola,D,1,7,SouthernEuropean,40
VarietyTrial,HanNW,A,2,7,MiddleChinese,35
VarietyTrial,HanFN-H,B,2,7,NorthernChinese,45
VarietyTrial,HanFNQ,C,2,7,NorthernChinese,45
VarietyTrial,CRS-1,D,2,7,Canadian,50
VarietyTrial,CFX-1,A,3,7,Canadian,50
VarietyTrial,CarmagnolaSelezionata,B,3,7,SouthernEuropean,40
VarietyTrial,CherryBlossomxTI,C,3,7,Uncertain,30
VarietyTrial,Bama,D,3,7,SouthChina,25
VarietyTrial,BerryBlossom,A,4,7,Uncertain,30
VarietyTrial,Joey,B,4,7,Canadian,50
VarietyTrial,CFX-2,C,4,7,Canadian,50
VarietyTrial,Yuma-2,D,4,7,SouthChina,25
VarietyTrial,Si-1,A,5,7,SouthChina,25
VarietyTrial,Canda,B,5,7,Canadian,50
VarietyTrial,Tygra,C,5,7,Poland,50
VarietyTrial,CarmagnolaSelezionata,A,1,8,SouthernEuropean,40
VarietyTrial,HanNE,B,1,8,MiddleChinese,35
VarietyTrial,Bama,C,1,8,SouthChina,25
VarietyTrial,Yuma-2,D,1,8,SouthChina,25
VarietyTrial,Si-1,A,2,8,SouthChina,25
VarietyTrial,Yuma,B,2,8,SouthChina,25
VarietyTrial,HanFN-H,C,2,8,NorthernChinese,45
VarietyTrial,Canda,D,2,8,Canadian,50
VarietyTrial,CRS-1,A,3,8,Canadian,50
VarietyTrial,HanNW,B,3,8,MiddleChinese,35
VarietyTrial,CherryBlossomxTI,C,3,8,Uncertain,30
VarietyTrial,Tygra,D,3,8,Poland,50
VarietyTrial,Carmagnola,A,4,8,SouthernEuropean,40
VarietyTrial,Helena,B,4,8,SouthernEuropean,45
VarietyTrial,BerryBlossom,C,4,8,Uncertain,30
VarietyTrial,CFX-2,D,4,8,Canadian,50
VarietyTrial,CFX-1,A,5,8,Canadian,50
VarietyTrial,Joey,B,5,8,Canadian,50
VarietyTrial,HanFNQ,C,5,8,NorthernChinese,45
VarietyTrial,Puma-3,A,1,9,SouthChina,25
VarietyTrial,Puma-4,B,1,9,SouthChina,25
VarietyTrial,Fibranova,C,1,9,SouthernEuropean,45
VarietyTrial,Eletta,D,1,9,SouthernEuropean,45
VarietyTrial,Fibranova,A,2,9,SouthernEuropean,45
VarietyTrial,Puma-4,B,2,9,SouthChina,25
VarietyTrial,Eletta,C,2,9,SouthernEuropean,45
VarietyTrial,Puma-3,D,2,9,SouthChina,25
VarietyTrial,Fibranova,A,3,9,SouthernEuropean,45
VarietyTrial,Eletta,B,3,9,SouthernEuropean,45
VarietyTrial,Puma-3,C,3,9,SouthChina,25
VarietyTrial,Puma-4,D,3,9,SouthChina,25
VarietyTrial,Eletta,A,4,9,SouthernEuropean,45
VarietyTrial,Puma-3,B,4,9,SouthChina,25
VarietyTrial,Puma-4,C,4,9,SouthChina,25
VarietyTrial,Fibranova,D,4,9,SouthernEuropean,45
PilotPlot2,Yuma-2,A,1,1,SouthChina,25
PilotPlot2,Puma-3,B,1,1,SouthChina,25
PilotPlot2,Bama,C,1,1,SouthChina,25
PilotPlot2,BerryBlossom,D,1,1,Uncertain,30
PilotPlot2,CherryBlossomxTI,A,2,1,Uncertain,30
PilotPlot2,Eletta,B,2,1,SouthernEuropean,45
PilotPlot2,Tygra,C,2,1,Poland,50
PilotPlot2,CarmagnolaSelezionata,D,2,1,SouthernEuropean,40
PilotPlot2,Yuma-2,A,3,2,SouthChina,25
PilotPlot2,Eletta,B,3,2,SouthernEuropean,45
PilotPlot2,CarmagnolaSelezionata,C,3,2,SouthernEuropean,40
PilotPlot2,CherryBlossomxTI,D,3,2,Uncertain,30
PilotPlot2,Tygra,A,4,2,Poland,50
PilotPlot2,Bama,B,4,2,SouthChina,25
PilotPlot2,Puma-3,C,4,2,SouthChina,25
PilotPlot2,BerryBlossom,D,4,2,Uncertain,30
PilotPlot2,Eletta,A,1,3,SouthernEuropean,45
PilotPlot2,Puma-3,B,1,3,SouthChina,25
PilotPlot2,Yuma-2,C,1,3,SouthChina,25
PilotPlot2,CarmagnolaSelezionata,D,1,3,SouthernEuropean,40
PilotPlot2,BerryBlossom,A,2,3,Uncertain,30
PilotPlot2,Bama,B,2,3,SouthChina,25
PilotPlot2,CherryBlossomxTI,C,2,3,Uncertain,30
PilotPlot2,Tygra,D,2,3,Poland,50
PilotPlot2,CherryBlossomxTI,A,3,4,Uncertain,30
PilotPlot2,Tygra,B,3,4,Poland,50
PilotPlot2,Yuma-2,C,3,4,SouthChina,25
PilotPlot2,Bama,D,3,4,SouthChina,25
PilotPlot2,CarmagnolaSelezionata,A,4,4,SouthernEuropean,40
PilotPlot2,Eletta,B,4,4,SouthernEuropean,45
PilotPlot2,BerryBlossom,C,4,4,Uncertain,30
PilotPlot2,Puma-3,D,4,4,SouthChina,25
PilotPlotPlus8,Yuma-2,A,1,10,SouthChina,25
PilotPlotPlus8,Puma-3,B,1,10,SouthChina,25
PilotPlotPlus8,Bama,C,1,10,SouthChina,25
PilotPlotPlus8,BerryBlossom,D,1,10,Uncertain,30
PilotPlotPlus8,CherryBlossomxTI,A,2,10,Uncertain,30
PilotPlotPlus8,Eletta,B,2,10,SouthernEuropean,45
PilotPlotPlus8,Tygra,C,2,10,Poland,50
PilotPlotPlus8,CarmagnolaSelezionata,D,2,10,SouthernEuropean,40
PilotPlotPlus8,Yuma-2,A,3,11,SouthChina,25
PilotPlotPlus8,Eletta,B,3,11,SouthernEuropean,45
PilotPlotPlus8,CarmagnolaSelezionata,C,3,11,SouthernEuropean,40
PilotPlotPlus8,CherryBlossomxTI,D,3,11,Uncertain,30
PilotPlotPlus8,Tygra,A,4,11,Poland,50
PilotPlotPlus8,Bama,B,4,11,SouthChina,25
PilotPlotPlus8,Puma-3,C,4,11,SouthChina,25
PilotPlotPlus8,BerryBlossom,D,4,11,Uncertain,30
PilotPlotPlus8,Eletta,A,1,12,SouthernEuropean,45
PilotPlotPlus8,Puma-3,B,1,12,SouthChina,25
PilotPlotPlus8,Yuma-2,C,1,12,SouthChina,25
PilotPlotPlus8,CarmagnolaSelezionata,D,1,12,SouthernEuropean,40
PilotPlotPlus8,BerryBlossom,A,2,12,Uncertain,30
PilotPlotPlus8,Bama,B,2,12,SouthChina,25
PilotPlotPlus8,CherryBlossomxTI,C,2,12,Uncertain,30
PilotPlotPlus8,Tygra,D,2,12,Poland,50
PilotPlotPlus8,CherryBlossomxTI,A,3,13,Uncertain,30
PilotPlotPlus8,Tygra,B,3,13,Poland,50
PilotPlotPlus8,Yuma-2,C,3,13,SouthChina,25
PilotPlotPlus8,Bama,D,3,13,SouthChina,25
PilotPlotPlus8,CarmagnolaSelezionata,A,4,13,SouthernEuropean,40
PilotPlotPlus8,Eletta,B,4,13,SouthernEuropean,45
PilotPlotPlus8,BerryBlossom,C,4,13,Uncertain,30
PilotPlotPlus8,Puma-3,D,4,13,SouthChina,25
PilotPlotPlus8,Carmagnola,A,1,14,SouthernEuropean,40
PilotPlotPlus8,HanFNQ,B,1,14,NorthernChinese,45
PilotPlotPlus8,Yuma,C,1,14,SouthChina,25
PilotPlotPlus8,HanNE,D,1,14,MiddleChinese,35
PilotPlotPlus8,Si-1,A,2,14,SouthChina,25
PilotPlotPlus8,CherryWine,B,2,14,Uncertain,30
PilotPlotPlus8,CherryBlossom,C,2,14,Uncertain,30
PilotPlotPlus8,Phylos,D,2,14,Uncertain,30
PilotPlotPlus8,HanFNQ,A,3,15,NorthernChinese,45
PilotPlotPlus8,Phylos,B,3,15,Uncertain,30
PilotPlotPlus8,HanNE,C,3,15,MiddleChinese,35
PilotPlotPlus8,CherryWine,D,3,15,Uncertain,30
PilotPlotPlus8,CherryBlossom,A,4,15,Uncertain,30
PilotPlotPlus8,Carmagnola,B,4,15,SouthernEuropean,40
PilotPlotPlus8,Yuma,C,4,15,SouthChina,25
PilotPlotPlus8,Si-1,D,4,15,SouthChina,25
PilotPlotPlus8,HanFNQ,A,1,16,NorthernChinese,45
PilotPlotPlus8,Carmagnola,B,1,16,SouthernEuropean,40
PilotPlotPlus8,CherryBlossom,C,1,16,Uncertain,30
PilotPlotPlus8,Yuma,D,1,16,SouthChina,25
PilotPlotPlus8,Si-1,A,2,16,SouthChina,25
PilotPlotPlus8,HanNE,B,2,16,MiddleChinese,35
PilotPlotPlus8,CherryWine,C,2,16,Uncertain,30
PilotPlotPlus8,Phylos,D,2,16,Uncertain,
PilotPlotPlus8,Si-1,A,3,17,SouthChina,25
PilotPlotPlus8,CherryBlossom,B,3,17,Uncertain,30
PilotPlotPlus8,Phylos,C,3,17,Uncertain,30
PilotPlotPlus8,Yuma,D,3,17,SouthChina,25
PilotPlotPlus8,Carmagnola,A,4,17,SouthernEuropean,40
PilotPlotPlus8,HanFNQ,B,4,17,NorthernChinese,45
PilotPlotPlus8,HanNE,C,4,17,MiddleChinese,35
PilotPlotPlus8,CherryWine,D,4,17,Uncertain,30