latitude,variety,planting_date,r_squared,x_start,x_end,slope,intercept,breakpoint_1_se,breakpoint_2_se,slope_se
25,Bama,July-18-2019,0.517,50.883,55,1.875,-94.375,1.661,NA,0.898
25,Bama,June-21-2019,0.731,74.456,87,1.671,-120.59,1.386,NA,0.22
25,Bama,May-01-2019,0.913,107.714,133,1.94,-207.49,0.742,NA,0.084
25,Bama,May-22-2019,0.966,91.213,112,3.713,-338.33,0.438,NA,0.107
25,Puma-3,July-18-2019,0.871,44.676,55,1.466,-65.474,1.081,NA,0.19
25,Puma-3,June-21-2019,0.862,73.959,87,2.679,-189.96,1.044,NA,0.254
25,Puma-3,May-01-2019,0.931,99.618,133,1.776,-176.85,0.81,NA,0.063
25,Puma-3,May-22-2019,0.98,84.051,112,3.107,-259.72,0.424,NA,0.064
25,Yuma-2,July-18-2019,0.808,51.967,55,3.125,-161.88,0.385,NA,0.49
25,Yuma-2,June-21-2019,0.72,72.256,87,1.543,-110.51,1.672,NA,0.224
25,Yuma-2,May-01-2019,0.927,108.216,133,1.993,-213.05,0.661,NA,0.078
25,Yuma-2,May-22-2019,0.957,91.75,112,3.478,-318.65,0.469,NA,0.109
30,BerryBlossom,July-18-2019,0.837,35.522,55,5.365,-190.59,1.77,0.686,0.539
30,BerryBlossom,June-21-2019,0.863,54.043,62.133,8.929,-470.83,1.579,1.602,2.342
30,BerryBlossom,May-01-2019,0.939,54.773,91.977,2.658,-145.59,1.773,2.042,0.151
30,BerryBlossom,May-22-2019,0.957,55.419,86.175,2.996,-166.01,1.171,1.543,0.143
30,CherryBlos. xTI,July-18-2019,0.933,37.725,55,6.628,-248.84,0.991,0.396,0.412
30,CherryBlos. xTI,June-21-2019,0.939,48.65,56.974,10.833,-517.22,0.882,0.96,1.695
30,CherryBlos. xTI,May-01-2019,0.961,66.653,87.495,4.519,-297.19,1.073,1.048,0.322
30,CherryBlos. xTI,May-22-2019,0.97,52.746,79.265,3.742,-196.58,0.899,0.967,0.158
40,Carmag. Sel.,July-18-2019,0.939,20,34.475,6.991,-141.01,0.883,NA,0.448
40,Carmag. Sel.,June-21-2019,0.84,24,28.724,14.375,-325.42,0.375,NA,1.544
40,Carmag. Sel.,May-01-2019,0.636,19,39.05,1.826,28.701,1.463,NA,0.204
40,Carmag. Sel.,May-22-2019,0.797,19,27.717,10,-182.5,0.659,NA,1.037
45,Eletta,July-18-2019,0.919,20,31.24,8.384,-171,1.006,NA,0.894
45,Eletta,June-21-2019,0.75,24,29.283,15.625,-369.58,0.646,NA,2.527
45,Eletta,May-01-2019,0.92,19,38.97,4.13,-60.963,0.589,NA,0.184
45,Eletta,May-22-2019,0.872,19,31.444,9.148,-192.04,0.576,NA,0.606
50,Tygra,July-18-2019,0.962,20,22.13,37.5,-732.5,0.075,NA,1.598
50,Tygra,June-21-2019,0.911,24,28.25,10,-182.5,0.174,NA,0.568
50,Tygra,May-01-2019,0.14,19,47.302,0.391,81.525,5.917,NA,0.126
50,Tygra,May-22-2019,0.856,19,25.052,15.938,-299.27,0.41,NA,1.463